,Date,Last,First,Max,Min,Vol.,% var.
0,31.12.2024,"5.881,63","5.919,74","5.929,74","5.868,86",,"-0,43%"
1,30.12.2024,"5.906,94","5.920,67","5.940,79","5.869,16",,"-1,07%"
2,27.12.2024,"5.970,84","6.006,17","6.006,17","5.932,95",,"-1,11%"
3,26.12.2024,"6.037,59","6.024,97","6.049,75","6.007,37",,"-0,04%"
4,24.12.2024,"6.040,04","5.984,63","6.040,10","5.981,44",,"1,10%"
5,23.12.2024,"5.974,07","5.940,25","5.978,25","5.902,57",,"0,73%"
6,20.12.2024,"5.930,85","5.842,00","5.982,06","5.832,30",,"1,09%"
7,19.12.2024,"5.867,08","5.912,71","5.935,52","5.866,07",,"-0,09%"
8,18.12.2024,"5.872,16","6.047,65","6.070,67","5.867,79",,"-2,95%"
9,17.12.2024,"6.050,61","6.052,55","6.057,68","6.035,19",,"-0,39%"
10,16.12.2024,"6.074,08","6.063,79","6.085,19","6.059,14",,"0,38%"
11,13.12.2024,"6.051,09","6.068,17","6.078,58","6.035,77",,"0,00%"
12,12.12.2024,"6.051,25","6.074,29","6.079,68","6.051,25",,"-0,54%"
13,11.12.2024,"6.084,19","6.060,15","6.092,59","6.060,15",,"0,82%"
14,10.12.2024,"6.034,91","6.057,59","6.065,40","6.029,89",,"-0,30%"
15,09.12.2024,"6.052,85","6.083,01","6.088,51","6.048,63",,"-0,61%"
16,06.12.2024,"6.090,27","6.081,38","6.099,97","6.079,98",,"0,25%"
17,05.12.2024,"6.075,11","6.089,03","6.094,55","6.072,90",,"-0,19%"
18,04.12.2024,"6.086,49","6.069,39","6.089,84","6.061,06",,"0,61%"
19,03.12.2024,"6.049,88","6.042,97","6.052,07","6.033,39",,"0,05%"
20,02.12.2024,"6.047,15","6.040,11","6.053,58","6.035,33",,"0,24%"
21,29.11.2024,"6.032,38","6.003,98","6.044,17","6.003,98",,"0,56%"
22,27.11.2024,"5.998,74","6.014,11","6.020,16","5.984,87",,"-0,38%"
23,26.11.2024,"6.021,63","6.000,03","6.025,42","5.992,27",,"0,57%"
24,25.11.2024,"5.987,37","5.992,28","6.020,75","5.963,91",,"0,30%"
25,22.11.2024,"5.969,34","5.944,36","5.972,90","5.944,36",,"0,35%"
26,21.11.2024,"5.948,71","5.940,58","5.963,32","5.887,26",,"0,53%"
27,20.11.2024,"5.917,11","5.914,34","5.920,67","5.860,56",,"0,00%"
28,19.11.2024,"5.916,98","5.870,05","5.923,51","5.855,29",,"0,40%"
29,18.11.2024,"5.893,62","5.874,17","5.908,12","5.865,95",,"0,39%"
30,15.11.2024,"5.870,62","5.912,79","5.915,32","5.853,01",,"-1,32%"
31,14.11.2024,"5.949,17","5.989,68","5.993,88","5.942,28",,"-0,60%"
32,13.11.2024,"5.985,38","5.985,75","6.008,19","5.965,91",,"0,02%"
33,12.11.2024,"5.983,99","6.003,60","6.009,92","5.960,08",,"-0,29%"
34,11.11.2024,"6.001,35","6.008,86","6.017,31","5.986,69",,"0,10%"
35,08.11.2024,"5.995,54","5.976,76","6.012,45","5.976,76",,"0,38%"
36,07.11.2024,"5.973,10","5.947,21","5.983,84","5.947,21",,"0,74%"
37,06.11.2024,"5.929,04","5.864,89","5.936,14","5.864,89",,"2,53%"
38,05.11.2024,"5.782,76","5.722,43","5.783,44","5.722,10",,"1,23%"
